yyyyMMdd,Net sales,Total orders,Total guests
20250903,6262.25,194,218
20250904,7469.70,257,258
20250905,6769.30,209,209
20250906,6462.55,183,183
20250907,5421.95,146,184
20250908,5644.49,206,206
20250909,6032.60,195,214
20250910,6389.83,213,213
20250911,6785.70,222,223
20250912,7863.27,241,241
20250913,5554.15,158,158
20250914,6248.95,190,190
20250915,6494.25,199,199
20250916,6345.05,196,196
20250917,7256.99,227,227
20250918,5088.83,169,169
20250919,7379.20,227,227
20250920,5952.53,177,177
20250921,6336.47,180,180
20250922,6119.27,209,209
20250923,6831.05,224,224
20250924,7608.12,208,277
20250925,7390.55,201,250
20250926,6884.77,223,223
20250927,5612.36,155,174
20250928,5704.31,164,164
20250929,5524.30,178,189
20250930,6217.40,205,205
20251001,6234.70,186,200
20251002,7936.90,200,293
