Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bottled Beer,89.0,632.84,2.66,0.0,635.5,55.26
Catering,516.0,7112.8,0.0,0.0,7112.8,622.64
Draft Beer,149.0,1248.2,8.8,0.0,1257.0,108.76
Food,12378.0,174381.79,1668.21,0.0,176050.0,15214.67
Liquor,165.0,1978.14,24.36,0.0,2002.5,173.23
NA Beverage,1299.0,5881.51,24.49,0.0,5906.0,512.95
Non-Grat Svc Charges,34.0,376.0,0.0,0.0,376.0,13.3
Retail,61.0,617.03,1.92,0.0,618.95,53.98
Utensils,295.0,0.0,0.0,0.0,0.0,0.0
Wine,114.0,1593.48,2.52,0.0,1596.0,139.58
Total,15100.0,193821.79,1732.96,0.0,195554.75,16894.37
